# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0887-v0M1_gene_tas.txt -m 4 -s 1000
#FDR Corrected thresholds: 0.99 0.033
#MH Acceptance-Rate:	36.17%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.771530
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	1	15	14	174	0.875000	U
cds_SP5448_00020	3	80	50	706	0.999000	E
cds_SP5448_00025	0	56	56	565	1.000000	E
cds_SP5448_00030	49	265	22	284	0.004000	NE
cds_SP5448_00035	4	30	9	76	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	15	128	21	228	0.001000	NE
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.999000	E
cds_SP5448_00065	2	138	130	1863	1.000000	E
cds_SP5448_00070	3	156	142	1371	1.000000	E
cds_SP5448_00080	37	91	11	202	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	34	186	15	216	0.001000	NE
cds_SP5448_00095	5	11	3	15	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	1	61	60	939	1.000000	E
cds_SP5448_00195	0	65	65	751	1.000000	E
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.003000	NE
cds_SP5448_00210	5	48	15	350	0.210000	U
cds_SP5448_00215	27	171	17	326	0.017000	NE
cds_SP5448_00220	21	95	15	215	0.001000	NE
cds_SP5448_00225	10	49	8	250	0.002000	NE
cds_SP5448_00230	5	29	14	230	0.001000	NE
cds_SP5448_00235	22	61	8	202	0.000000	NE
cds_SP5448_00240	25	92	10	128	0.001000	NE
cds_SP5448_00245	21	58	4	65	0.000000	NE
cds_SP5448_00250	2	17	8	277	0.029000	NE
cds_SP5448_00255	15	38	8	263	0.002000	NE
cds_SP5448_00260	59	173	13	155	0.001000	NE
cds_SP5448_00265	4	57	20	552	0.280000	U
cds_SP5448_00270	20	90	15	112	0.001000	NE
cds_SP5448_00280	1	78	53	634	0.998000	E
cds_SP5448_00285	9	41	19	217	0.001000	NE
cds_SP5448_00290	1	38	21	217	0.002000	NE
cds_SP5448_00295	1	150	148	1752	1.000000	E
cds_SP5448_00300	21	148	35	647	0.704000	U
cds_SP5448_00305	22	67	9	114	0.000000	NE
cds_SP5448_00310	39	106	7	83	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.940000	U
cds_SP5448_00320	0	31	31	613	0.948000	U
cds_SP5448_00325	0	31	31	613	0.967000	U
cds_SP5448_00330	0	15	15	287	0.952000	U
cds_SP5448_00335	0	47	47	828	1.000000	E
cds_SP5448_00340	0	14	14	273	0.964000	U
cds_SP5448_00345	0	20	20	333	0.944000	U
cds_SP5448_00350	0	34	34	640	0.984000	U
cds_SP5448_00355	0	27	27	409	0.959000	U
cds_SP5448_00360	0	7	7	192	0.888000	U
cds_SP5448_00365	0	22	22	252	0.990000	U
cds_SP5448_00370	0	21	21	333	0.945000	U
cds_SP5448_00375	0	22	22	298	0.984000	U
cds_SP5448_00380	1	34	22	303	0.594000	U
cds_SP5448_00385	0	10	10	180	0.910000	U
cds_SP5448_00390	0	24	24	393	0.956000	U
cds_SP5448_00395	1	36	32	499	0.974000	U
cds_SP5448_00400	0	19	19	342	0.917000	U
cds_SP5448_00405	0	25	25	486	0.915000	U
cds_SP5448_00410	0	16	16	171	0.961000	U
cds_SP5448_00415	0	29	29	424	0.975000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	1	46	34	424	0.956000	U
cds_SP5448_00430	0	15	15	181	0.965000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.959000	U
cds_SP5448_00445	0	19	19	378	0.872000	U
cds_SP5448_00450	0	67	67	919	1.000000	E
cds_SP5448_00455	0	23	23	380	0.931000	U
cds_SP5448_00465	34	91	11	202	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	33	186	16	223	0.001000	NE
