# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0864-v0M1_gene_tas.txt -m 16 -s 1000
#FDR Corrected thresholds: 0.999 0.018
#MH Acceptance-Rate:	26.53%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.893650
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.975000	U
cds_SP5448_00010	0	102	102	1119	0.930000	U
cds_SP5448_00015	0	15	15	183	0.928000	U
cds_SP5448_00020	2	80	51	717	0.546000	U
cds_SP5448_00025	0	56	56	565	0.778000	U
cds_SP5448_00030	20	265	43	570	0.048000	U
cds_SP5448_00035	3	30	13	110	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	6	128	54	561	0.307000	U
cds_SP5448_00055	0	130	130	1266	0.852000	U
cds_SP5448_00060	0	55	55	528	0.769000	U
cds_SP5448_00065	0	138	138	1974	1.000000	E
cds_SP5448_00070	12	156	47	362	0.118000	U
cds_SP5448_00080	25	91	15	254	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	14	186	33	526	0.044000	U
cds_SP5448_00095	1	11	7	61	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.952000	U
cds_SP5448_00190	0	61	61	956	0.890000	U
cds_SP5448_00195	0	65	65	751	0.819000	U
cds_SP5448_00200	0	86	86	991	0.905000	U
cds_SP5448_00205	0	22	22	210	0.946000	U
cds_SP5448_00210	2	48	35	591	0.542000	U
cds_SP5448_00215	9	171	34	648	0.056000	U
cds_SP5448_00220	12	95	18	269	0.004000	NE
cds_SP5448_00225	7	49	8	250	0.001000	NE
cds_SP5448_00230	3	29	16	272	0.030000	U
cds_SP5448_00235	10	61	15	311	0.070000	U
cds_SP5448_00240	13	92	14	184	0.001000	NE
cds_SP5448_00245	11	58	13	269	0.006000	NE
cds_SP5448_00250	0	17	17	477	0.644000	U
cds_SP5448_00255	14	38	11	421	0.196000	U
cds_SP5448_00260	34	173	18	179	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.157000	U
cds_SP5448_00270	8	90	40	348	0.203000	U
cds_SP5448_00280	1	78	53	634	0.557000	U
cds_SP5448_00285	6	41	20	223	0.001000	NE
cds_SP5448_00290	0	38	38	386	0.850000	U
cds_SP5448_00295	0	150	150	1768	0.969000	U
cds_SP5448_00300	8	148	55	936	0.437000	U
cds_SP5448_00305	9	67	28	471	0.207000	U
cds_SP5448_00310	23	106	18	195	0.001000	NE
cds_SP5448_00315	0	13	13	288	0.944000	U
cds_SP5448_00320	0	31	31	613	0.675000	U
cds_SP5448_00325	0	31	31	613	0.645000	U
cds_SP5448_00330	0	15	15	287	0.943000	U
cds_SP5448_00335	0	47	47	828	0.783000	U
cds_SP5448_00340	0	14	14	273	0.950000	U
cds_SP5448_00345	0	20	20	333	0.874000	U
cds_SP5448_00350	0	34	34	640	0.687000	U
cds_SP5448_00355	0	27	27	409	0.723000	U
cds_SP5448_00360	0	7	7	192	0.945000	U
cds_SP5448_00365	0	22	22	252	0.960000	U
cds_SP5448_00370	0	21	21	333	0.877000	U
cds_SP5448_00375	0	22	22	298	0.944000	U
cds_SP5448_00380	0	34	34	532	0.678000	U
cds_SP5448_00385	0	10	10	180	0.943000	U
cds_SP5448_00390	0	24	24	393	0.741000	U
cds_SP5448_00395	0	36	36	528	0.713000	U
cds_SP5448_00400	0	19	19	342	0.833000	U
cds_SP5448_00405	0	25	25	486	0.606000	U
cds_SP5448_00410	0	16	16	171	0.944000	U
cds_SP5448_00415	0	29	29	424	0.727000	U
cds_SP5448_00420	0	117	117	1297	0.927000	U
cds_SP5448_00425	0	46	46	628	0.762000	U
cds_SP5448_00430	0	15	15	181	0.940000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.811000	U
cds_SP5448_00445	0	19	19	378	0.758000	U
cds_SP5448_00450	0	67	67	919	0.877000	U
cds_SP5448_00455	0	23	23	380	0.754000	U
cds_SP5448_00465	26	91	12	210	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	16	186	33	526	0.072000	U
cds_SP5448_00480	1	11	7	61	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	0	2	2	56	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	0	12	12	164	0.938000	U
cds_SP5448_00550	2	19	11	161	0.001000	NE
cds_SP5448_00555	0	14	14	222	0.941000	U
cds_SP5448_00560	1	47	25	258	0.016000	NE
cds_SP5448_00565	1	42	40	686	0.700000	U
cds_SP5448_00570	2	69	33	372	0.290000	U
cds_SP5448_00575	2	25	22	361	0.716000	U
cds_SP5448_00580	1	76	75	1254	0.973000	U
cds_SP5448_00585	9	170	57	792	0.298000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	0	187	187	3631	1.000000	E
cds_SP5448_00600	5	29	18	217	0.001000	NE
cds_SP5448_00605	4	73	34	436	0.252000	U
cds_SP5448_00610	10	86	22	214	0.001000	NE
cds_SP5448_00615	4	26	9	107	0.001000	NE
cds_SP5448_00620	2	33	15	161	0.001000	NE
cds_SP5448_00625	2	23	19	188	0.114000	U
cds_SP5448_00630	6	41	12	102	0.001000	NE
cds_SP5448_00635	7	28	6	82	0.000000	NE
cds_SP5448_00640	16	58	10	180	0.001000	NE
cds_SP5448_00645	1	77	71	1010	0.885000	U
cds_SP5448_00650	4	26	8	91	0.001000	NE
cds_SP5448_00655	6	50	16	263	0.007000	NE
cds_SP5448_00660	2	62	36	516	0.290000	U
cds_SP5448_00670	4	22	7	91	0.000000	NE
cds_SP5448_00675	2	25	22	274	0.690000	U
cds_SP5448_00680	4	28	8	240	0.002000	NE
cds_SP5448_00685	5	32	16	201	0.001000	NE
cds_SP5448_00690	2	37	35	626	0.685000	U
cds_SP5448_00695	4	43	20	440	0.190000	U
cds_SP5448_00700	4	49	25	478	0.267000	U
cds_SP5448_00705	7	115	48	660	0.315000	U
cds_SP5448_00710	30	203	19	176	0.001000	NE
cds_SP5448_00715	5	56	18	196	0.001000	NE
cds_SP5448_00720	8	85	34	372	0.203000	U
cds_SP5448_00725	5	66	25	265	0.013000	NE
cds_SP5448_00730	8	63	21	241	0.003000	NE
cds_SP5448_00735	12	84	21	402	0.117000	U
cds_SP5448_00740	0	10	10	163	0.937000	U
cds_SP5448_00745	2	20	14	238	0.010000	NE
cds_SP5448_00750	6	63	26	315	0.206000	U
cds_SP5448_00755	4	65	44	454	0.515000	U
cds_SP5448_00760	9	97	20	250	0.004000	NE
cds_SP5448_00765	7	68	19	244	0.002000	NE
cds_SP5448_00770	7	77	37	600	0.284000	U
cds_SP5448_00775	5	41	21	370	0.323000	U
cds_SP5448_00780	4	48	20	273	0.028000	U
cds_SP5448_00785	11	59	10	117	0.001000	NE
cds_SP5448_00790	5	22	7	72	0.000000	NE
cds_SP5448_00795	9	76	16	201	0.001000	NE
