# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0872-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.992 0.031
#MH Acceptance-Rate:	34.73%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.799559
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	0	15	15	183	0.942000	U
cds_SP5448_00020	3	80	51	717	0.992000	U
cds_SP5448_00025	0	56	56	565	0.999000	E
cds_SP5448_00030	58	265	27	346	0.032000	U
cds_SP5448_00035	4	30	9	76	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	14	128	30	296	0.133000	U
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.998000	E
cds_SP5448_00065	1	138	130	1863	1.000000	E
cds_SP5448_00070	4	156	84	853	1.000000	E
cds_SP5448_00080	36	91	11	202	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	31	186	21	336	0.031000	U
cds_SP5448_00095	4	11	2	10	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	0	61	61	956	0.999000	E
cds_SP5448_00195	0	65	65	751	0.999000	E
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.004000	NE
cds_SP5448_00210	5	48	15	350	0.197000	U
cds_SP5448_00215	19	171	21	446	0.031000	U
cds_SP5448_00220	22	95	17	237	0.001000	NE
cds_SP5448_00225	9	49	8	250	0.001000	NE
cds_SP5448_00230	5	29	7	157	0.000000	NE
cds_SP5448_00235	18	61	9	213	0.000000	NE
cds_SP5448_00240	24	92	12	157	0.001000	NE
cds_SP5448_00245	19	58	7	132	0.000000	NE
cds_SP5448_00250	1	17	15	468	0.589000	U
cds_SP5448_00255	14	38	8	263	0.000000	NE
cds_SP5448_00260	43	173	14	172	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.230000	U
cds_SP5448_00270	16	90	15	112	0.001000	NE
cds_SP5448_00280	2	78	40	434	0.880000	U
cds_SP5448_00285	10	41	15	189	0.001000	NE
cds_SP5448_00290	2	38	21	217	0.001000	NE
cds_SP5448_00295	3	150	85	1014	1.000000	E
cds_SP5448_00300	19	148	23	421	0.063000	U
cds_SP5448_00305	19	67	12	141	0.001000	NE
cds_SP5448_00310	33	106	10	102	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.935000	U
cds_SP5448_00320	0	31	31	613	0.936000	U
cds_SP5448_00325	0	31	31	613	0.939000	U
cds_SP5448_00330	0	15	15	287	0.953000	U
cds_SP5448_00335	0	47	47	828	0.997000	E
cds_SP5448_00340	0	14	14	273	0.931000	U
cds_SP5448_00345	0	20	20	333	0.915000	U
cds_SP5448_00350	0	34	34	640	0.957000	U
cds_SP5448_00355	0	27	27	409	0.923000	U
cds_SP5448_00360	0	7	7	192	0.887000	U
cds_SP5448_00365	0	22	22	252	0.984000	U
cds_SP5448_00370	0	21	21	333	0.947000	U
cds_SP5448_00375	0	22	22	298	0.973000	U
cds_SP5448_00380	1	34	22	303	0.459000	U
cds_SP5448_00385	0	10	10	180	0.908000	U
cds_SP5448_00390	0	24	24	393	0.903000	U
cds_SP5448_00395	0	36	36	528	0.969000	U
cds_SP5448_00400	0	19	19	342	0.905000	U
cds_SP5448_00405	0	25	25	486	0.849000	U
cds_SP5448_00410	0	16	16	171	0.939000	U
cds_SP5448_00415	0	29	29	424	0.938000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	2	46	34	424	0.894000	U
cds_SP5448_00430	0	15	15	181	0.940000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.930000	U
cds_SP5448_00445	0	19	19	378	0.848000	U
cds_SP5448_00450	0	67	67	919	1.000000	E
cds_SP5448_00455	0	23	23	380	0.899000	U
cds_SP5448_00465	34	91	12	210	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	30	186	23	373	0.041000	U
