# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0878-v0M1_gene_tas.txt -m 4 -s 1000
#FDR Corrected thresholds: 0.993 0.034
#MH Acceptance-Rate:	34.21%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.789034
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	1	106	75	864	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	2	15	10	121	0.015000	NE
cds_SP5448_00020	6	80	25	356	0.286000	U
cds_SP5448_00025	0	56	56	565	0.999000	E
cds_SP5448_00030	53	265	21	279	0.001000	NE
cds_SP5448_00035	3	30	13	110	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	19	128	22	208	0.001000	NE
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.998000	E
cds_SP5448_00065	2	138	130	1863	1.000000	E
cds_SP5448_00070	7	156	52	436	0.940000	U
cds_SP5448_00080	32	91	15	254	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	29	186	25	386	0.052000	U
cds_SP5448_00095	2	11	5	32	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	1	2	1	2	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	1	61	60	939	1.000000	E
cds_SP5448_00195	0	65	65	751	1.000000	E
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.004000	NE
cds_SP5448_00210	7	48	11	139	0.001000	NE
cds_SP5448_00215	29	171	13	258	0.001000	NE
cds_SP5448_00220	18	95	14	254	0.002000	NE
cds_SP5448_00225	8	49	8	250	0.000000	NE
cds_SP5448_00230	3	29	15	266	0.009000	NE
cds_SP5448_00235	14	61	15	311	0.050000	U
cds_SP5448_00240	28	92	10	128	0.001000	NE
cds_SP5448_00245	14	58	7	163	0.000000	NE
cds_SP5448_00250	2	17	9	240	0.003000	NE
cds_SP5448_00255	14	38	10	305	0.052000	U
cds_SP5448_00260	52	173	10	122	0.000000	NE
cds_SP5448_00265	4	57	20	552	0.257000	U
cds_SP5448_00270	20	90	15	112	0.001000	NE
cds_SP5448_00280	4	78	40	434	0.907000	U
cds_SP5448_00285	16	41	6	36	0.000000	NE
cds_SP5448_00290	1	38	21	217	0.003000	NE
cds_SP5448_00295	2	150	131	1537	1.000000	E
cds_SP5448_00300	18	148	45	805	0.941000	U
cds_SP5448_00305	12	67	13	165	0.001000	NE
cds_SP5448_00310	44	106	6	45	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.935000	U
cds_SP5448_00320	0	31	31	613	0.948000	U
cds_SP5448_00325	0	31	31	613	0.943000	U
cds_SP5448_00330	0	15	15	287	0.948000	U
cds_SP5448_00335	0	47	47	828	0.997000	E
cds_SP5448_00340	0	14	14	273	0.922000	U
cds_SP5448_00345	1	20	16	299	0.728000	U
cds_SP5448_00350	0	34	34	640	0.966000	U
cds_SP5448_00355	0	27	27	409	0.921000	U
cds_SP5448_00360	0	7	7	192	0.887000	U
cds_SP5448_00365	0	22	22	252	0.985000	U
cds_SP5448_00370	0	21	21	333	0.937000	U
cds_SP5448_00375	0	22	22	298	0.971000	U
cds_SP5448_00380	1	34	22	303	0.503000	U
cds_SP5448_00385	0	10	10	180	0.891000	U
cds_SP5448_00390	0	24	24	393	0.915000	U
cds_SP5448_00395	0	36	36	528	0.971000	U
cds_SP5448_00400	0	19	19	342	0.901000	U
cds_SP5448_00405	0	25	25	486	0.886000	U
cds_SP5448_00410	0	16	16	171	0.954000	U
cds_SP5448_00415	1	29	27	397	0.926000	U
cds_SP5448_00420	2	117	114	1270	1.000000	E
cds_SP5448_00425	2	46	34	424	0.914000	U
cds_SP5448_00430	0	15	15	181	0.938000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.916000	U
cds_SP5448_00445	0	19	19	378	0.840000	U
cds_SP5448_00450	2	67	39	555	0.927000	U
