# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0893-v0M1_gene_tas.txt -m 2 -s 1000
#FDR Corrected thresholds: 0.99 0.042
#MH Acceptance-Rate:	38.31%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.706016
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	3	106	93	1145	1.000000	E
cds_SP5448_00010	0	102	102	1119	1.000000	E
cds_SP5448_00015	1	15	14	174	0.926000	U
cds_SP5448_00020	10	80	23	266	0.042000	U
cds_SP5448_00025	0	56	56	565	1.000000	E
cds_SP5448_00030	85	265	16	188	0.001000	NE
cds_SP5448_00035	10	30	7	58	0.000000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	17	128	21	289	0.093000	U
cds_SP5448_00055	2	130	54	432	1.000000	E
cds_SP5448_00060	0	55	55	528	1.000000	E
cds_SP5448_00065	6	138	75	1228	1.000000	E
cds_SP5448_00070	9	156	52	436	1.000000	E
cds_SP5448_00080	49	91	6	125	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	57	186	10	127	0.000000	NE
cds_SP5448_00095	6	11	1	2	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	1	2	1	2	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	2	6	3	31	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	1	87	51	735	1.000000	E
cds_SP5448_00190	1	61	60	939	1.000000	E
cds_SP5448_00195	5	65	22	274	0.126000	U
cds_SP5448_00200	3	86	25	279	0.217000	U
cds_SP5448_00205	1	22	14	131	0.008000	NE
cds_SP5448_00210	11	48	11	139	0.001000	NE
cds_SP5448_00215	32	171	18	328	0.035000	NE
cds_SP5448_00220	27	95	10	155	0.001000	NE
cds_SP5448_00225	13	49	8	250	0.001000	NE
cds_SP5448_00230	10	29	6	136	0.000000	NE
cds_SP5448_00235	24	61	8	202	0.000000	NE
cds_SP5448_00240	38	92	9	134	0.000000	NE
cds_SP5448_00245	28	58	4	65	0.000000	NE
cds_SP5448_00250	4	17	6	144	0.000000	NE
cds_SP5448_00255	18	38	5	120	0.000000	NE
cds_SP5448_00260	76	173	7	40	0.000000	NE
cds_SP5448_00265	9	57	19	544	0.517000	U
cds_SP5448_00270	37	90	7	61	0.000000	NE
cds_SP5448_00280	4	78	32	325	0.942000	U
cds_SP5448_00285	16	41	8	107	0.000000	NE
cds_SP5448_00290	2	38	20	206	0.002000	NE
cds_SP5448_00295	3	150	85	1014	1.000000	E
cds_SP5448_00300	35	148	13	213	0.001000	NE
cds_SP5448_00305	27	67	8	88	0.000000	NE
cds_SP5448_00310	49	106	7	82	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.963000	U
cds_SP5448_00320	1	31	27	582	0.993000	E
cds_SP5448_00325	0	31	31	613	0.989000	U
cds_SP5448_00330	0	15	15	287	0.978000	U
cds_SP5448_00335	0	47	47	828	1.000000	E
cds_SP5448_00340	0	14	14	273	0.971000	U
cds_SP5448_00345	1	20	16	299	0.911000	U
cds_SP5448_00350	0	34	34	640	1.000000	E
cds_SP5448_00355	0	27	27	409	0.982000	U
cds_SP5448_00360	0	7	7	192	0.858000	U
cds_SP5448_00365	0	22	22	252	0.993000	E
cds_SP5448_00370	0	21	21	333	0.975000	U
cds_SP5448_00375	0	22	22	298	0.994000	E
cds_SP5448_00380	2	34	17	250	0.014000	NE
cds_SP5448_00385	0	10	10	180	0.921000	U
cds_SP5448_00390	0	24	24	393	0.986000	U
cds_SP5448_00395	1	36	32	499	0.996000	E
cds_SP5448_00400	0	19	19	342	0.981000	U
cds_SP5448_00405	1	25	19	351	0.864000	U
cds_SP5448_00410	0	16	16	171	0.982000	U
cds_SP5448_00415	1	29	27	397	0.985000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	3	46	26	306	0.889000	U
cds_SP5448_00430	0	15	15	181	0.976000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.984000	U
cds_SP5448_00445	0	19	19	378	0.939000	U
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	0.978000	U
cds_SP5448_00465	51	91	6	125	0.000000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	61	186	10	127	0.000000	NE
cds_SP5448_00480	8	11	1	2	-1.000000	S
cds_SP5448_00485	1	3	1	2	-1.000000	S
cds_SP5448_00490	2	4	2	8	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	2	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	1	2	1	2	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	3	12	7	92	0.008000	NE
cds_SP5448_00550	6	19	4	68	0.000000	NE
cds_SP5448_00555	5	14	3	96	0.000000	NE
cds_SP5448_00560	4	47	18	141	0.001000	NE
cds_SP5448_00565	8	42	11	184	0.001000	NE
cds_SP5448_00570	9	69	17	183	0.001000	NE
cds_SP5448_00575	8	25	7	93	0.000000	NE
cds_SP5448_00580	1	76	75	1254	1.000000	E
cds_SP5448_00585	10	170	31	395	0.750000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	5	187	77	1571	1.000000	E
cds_SP5448_00600	7	29	14	191	0.001000	NE
cds_SP5448_00605	14	73	14	158	0.001000	NE
cds_SP5448_00610	27	86	15	204	0.001000	NE
cds_SP5448_00615	11	26	4	34	0.000000	NE
cds_SP5448_00620	7	33	6	67	0.000000	NE
cds_SP5448_00625	5	23	12	134	0.001000	NE
cds_SP5448_00630	23	41	5	45	0.000000	NE
cds_SP5448_00635	17	28	4	43	0.000000	NE
cds_SP5448_00640	28	58	4	68	0.000000	NE
cds_SP5448_00645	6	77	19	252	0.007000	NE
cds_SP5448_00650	10	26	7	77	0.000000	NE
cds_SP5448_00655	18	50	7	115	0.000000	NE
cds_SP5448_00660	15	62	10	164	0.001000	NE
cds_SP5448_00670	9	22	4	73	0.000000	NE
cds_SP5448_00675	7	25	10	119	0.001000	NE
cds_SP5448_00680	11	28	4	79	0.000000	NE
cds_SP5448_00685	12	32	5	38	0.000000	NE
cds_SP5448_00690	9	37	7	107	0.000000	NE
cds_SP5448_00695	14	43	6	153	0.000000	NE
cds_SP5448_00700	10	49	8	123	0.000000	NE
cds_SP5448_00705	36	115	18	209	0.001000	NE
cds_SP5448_00710	82	203	10	101	0.000000	NE
cds_SP5448_00715	13	56	13	119	0.001000	NE
cds_SP5448_00720	27	85	8	99	0.000000	NE
cds_SP5448_00725	12	66	12	150	0.001000	NE
cds_SP5448_00730	23	63	7	119	0.000000	NE
cds_SP5448_00735	30	84	13	217	0.002000	NE
cds_SP5448_00740	2	10	4	52	0.001000	NE
cds_SP5448_00745	8	20	4	92	0.000000	NE
cds_SP5448_00750	27	63	5	95	0.000000	NE
cds_SP5448_00755	15	65	15	155	0.001000	NE
cds_SP5448_00760	27	97	9	170	0.000000	NE
cds_SP5448_00765	24	68	8	74	0.000000	NE
cds_SP5448_00770	25	77	9	128	0.000000	NE
cds_SP5448_00775	21	41	5	131	0.000000	NE
cds_SP5448_00780	15	48	7	96	0.000000	NE
cds_SP5448_00785	23	59	6	59	0.000000	NE
cds_SP5448_00790	8	22	7	72	0.000000	NE
cds_SP5448_00795	22	76	8	55	0.000000	NE
cds_SP5448_00800	9	27	6	101	0.000000	NE
cds_SP5448_00805	60	168	9	67	0.000000	NE
cds_SP5448_00810	7	37	13	152	0.001000	NE
cds_SP5448_00815	11	38	6	43	0.000000	NE
cds_SP5448_00820	30	75	10	132	0.001000	NE
cds_SP5448_00825	11	26	6	78	0.000000	NE
cds_SP5448_00830	33	92	13	269	0.002000	NE
cds_SP5448_00835	41	95	9	147	0.000000	NE
cds_SP5448_00840	15	42	7	96	0.000000	NE
cds_SP5448_00845	23	75	9	125	0.000000	NE
cds_SP5448_00850	22	62	7	98	0.000000	NE
cds_SP5448_00855	27	71	6	89	0.000000	NE
cds_SP5448_00860	17	57	12	251	0.002000	NE
cds_SP5448_00865	2	23	20	500	0.910000	U
cds_SP5448_00870	31	97	12	187	0.001000	NE
cds_SP5448_00875	2	54	52	454	1.000000	E
cds_SP5448_00880	41	126	10	140	0.000000	NE
cds_SP5448_00885	13	35	4	39	0.000000	NE
cds_SP5448_00890	6	15	2	25	0.000000	NE
cds_SP5448_00900	2	11	5	40	-1.000000	S
cds_SP5448_00905	28	78	7	67	0.000000	NE
cds_SP5448_00910	3	115	62	1496	1.000000	E
cds_SP5448_00915	20	71	11	350	0.050000	U
cds_SP5448_00920	6	17	4	54	0.000000	NE
cds_SP5448_00925	14	33	4	56	0.000000	NE
cds_SP5448_00930	7	28	8	202	0.000000	NE
cds_SP5448_00935	18	40	6	102	0.000000	NE
cds_SP5448_00940	10	32	12	306	0.151000	U
cds_SP5448_00945	48	127	10	112	0.000000	NE
cds_SP5448_00950	25	74	12	109	0.001000	NE
cds_SP5448_00955	24	63	6	53	0.000000	NE
cds_SP5448_00960	36	106	11	213	0.001000	NE
cds_SP5448_00965	9	160	49	941	1.000000	E
cds_SP5448_00970	10	24	4	56	0.000000	NE
cds_SP5448_00975	10	34	7	83	0.000000	NE
