# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0901-v0M1_gene_tas.txt -m 32 -s 1000
#FDR Corrected thresholds: 0.999 0.011
#MH Acceptance-Rate:	21.88%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.928785
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.667000	U
cds_SP5448_00010	0	102	102	1119	0.455000	U
cds_SP5448_00015	0	15	15	183	0.955000	U
cds_SP5448_00020	0	80	80	1108	0.683000	U
cds_SP5448_00025	0	56	56	565	0.570000	U
cds_SP5448_00030	10	265	44	606	0.045000	U
cds_SP5448_00035	0	30	30	268	0.955000	U
cds_SP5448_00040	0	30	30	338	0.859000	U
cds_SP5448_00050	4	128	57	571	0.153000	U
cds_SP5448_00055	0	130	130	1266	0.188000	U
cds_SP5448_00060	0	55	55	528	0.586000	U
cds_SP5448_00065	0	138	138	1974	0.943000	U
cds_SP5448_00070	0	156	156	1452	0.050000	U
cds_SP5448_00080	16	91	18	320	0.144000	U
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	8	186	48	796	0.110000	U
cds_SP5448_00095	0	11	11	113	-1.000000	S
cds_SP5448_00100	0	4	4	68	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.723000	U
cds_SP5448_00190	0	61	61	956	0.687000	U
cds_SP5448_00195	0	65	65	751	0.545000	U
cds_SP5448_00200	0	86	86	991	0.528000	U
cds_SP5448_00205	0	22	22	210	0.946000	U
cds_SP5448_00210	0	48	48	699	0.589000	U
cds_SP5448_00215	4	171	81	1943	0.992000	U
cds_SP5448_00220	8	95	28	446	0.139000	U
cds_SP5448_00225	3	49	13	288	0.067000	U
cds_SP5448_00230	0	29	29	528	0.641000	U
cds_SP5448_00235	4	61	38	915	0.434000	U
cds_SP5448_00240	8	92	20	254	0.003000	NE
cds_SP5448_00245	5	58	31	783	0.360000	U
cds_SP5448_00250	1	17	15	468	0.679000	U
cds_SP5448_00255	6	38	10	305	0.154000	U
cds_SP5448_00260	22	173	18	179	0.001000	NE
cds_SP5448_00265	2	57	26	702	0.297000	U
cds_SP5448_00270	5	90	40	348	0.173000	U
cds_SP5448_00280	1	78	53	634	0.322000	U
cds_SP5448_00285	5	41	20	223	0.001000	NE
cds_SP5448_00290	1	38	35	371	0.755000	U
cds_SP5448_00295	0	150	150	1768	0.480000	U
cds_SP5448_00300	7	148	50	828	0.150000	U
cds_SP5448_00305	8	67	28	471	0.238000	U
cds_SP5448_00310	13	106	32	371	0.121000	U
cds_SP5448_00315	0	13	13	288	0.957000	U
cds_SP5448_00320	0	31	31	613	0.613000	U
cds_SP5448_00325	0	31	31	613	0.628000	U
cds_SP5448_00330	0	15	15	287	0.958000	U
cds_SP5448_00335	0	47	47	828	0.620000	U
cds_SP5448_00340	0	14	14	273	0.970000	U
cds_SP5448_00345	0	20	20	333	0.879000	U
cds_SP5448_00350	0	34	34	640	0.621000	U
cds_SP5448_00355	0	27	27	409	0.758000	U
cds_SP5448_00360	0	7	7	192	0.971000	U
cds_SP5448_00365	0	22	22	252	0.947000	U
cds_SP5448_00370	0	21	21	333	0.889000	U
cds_SP5448_00375	0	22	22	298	0.940000	U
cds_SP5448_00380	0	34	34	532	0.601000	U
cds_SP5448_00385	0	10	10	180	0.970000	U
cds_SP5448_00390	0	24	24	393	0.747000	U
cds_SP5448_00395	0	36	36	528	0.654000	U
cds_SP5448_00400	0	19	19	342	0.874000	U
cds_SP5448_00405	0	25	25	486	0.668000	U
cds_SP5448_00410	0	16	16	171	0.953000	U
cds_SP5448_00415	0	29	29	424	0.730000	U
cds_SP5448_00420	0	117	117	1297	0.457000	U
cds_SP5448_00425	0	46	46	628	0.585000	U
cds_SP5448_00430	0	15	15	181	0.961000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.834000	U
cds_SP5448_00445	0	19	19	378	0.767000	U
cds_SP5448_00450	0	67	67	919	0.633000	U
cds_SP5448_00455	0	23	23	380	0.793000	U
cds_SP5448_00465	15	91	18	320	0.150000	U
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	10	186	48	796	0.101000	U
cds_SP5448_00480	0	11	11	113	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
