# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0901-v0M1_gene_tas.txt -m 8 -s 1000
#FDR Corrected thresholds: 0.994 0.03
#MH Acceptance-Rate:	32.76%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.827478
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	1.000000	E
cds_SP5448_00010	0	102	102	1119	0.999000	E
cds_SP5448_00015	0	15	15	183	0.942000	U
cds_SP5448_00020	3	80	32	428	0.434000	U
cds_SP5448_00025	0	56	56	565	0.989000	U
cds_SP5448_00030	31	265	36	447	0.092000	U
cds_SP5448_00035	3	30	19	158	0.001000	NE
cds_SP5448_00040	0	30	30	338	0.954000	U
cds_SP5448_00050	13	128	27	262	0.005000	NE
cds_SP5448_00055	0	130	130	1266	1.000000	E
cds_SP5448_00060	0	55	55	528	0.987000	U
cds_SP5448_00065	1	138	133	1904	1.000000	E
cds_SP5448_00070	3	156	142	1371	1.000000	E
cds_SP5448_00080	30	91	6	87	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	36	186	15	216	0.001000	NE
cds_SP5448_00095	4	11	3	32	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	1.000000	E
cds_SP5448_00190	0	61	61	956	0.999000	E
cds_SP5448_00195	0	65	65	751	0.996000	E
cds_SP5448_00200	0	86	86	991	1.000000	E
cds_SP5448_00205	1	22	14	131	0.005000	NE
cds_SP5448_00210	4	48	22	318	0.272000	U
cds_SP5448_00215	11	171	34	648	0.176000	U
cds_SP5448_00220	17	95	17	237	0.001000	NE
cds_SP5448_00225	7	49	11	158	0.001000	NE
cds_SP5448_00230	3	29	10	195	0.001000	NE
cds_SP5448_00235	11	61	13	303	0.027000	NE
cds_SP5448_00240	23	92	8	72	0.000000	NE
cds_SP5448_00245	16	58	7	163	0.000000	NE
cds_SP5448_00250	1	17	15	468	0.572000	U
cds_SP5448_00255	12	38	8	263	0.004000	NE
cds_SP5448_00260	45	173	15	177	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.161000	U
cds_SP5448_00270	13	90	17	130	0.001000	NE
cds_SP5448_00280	1	78	53	634	0.956000	U
cds_SP5448_00285	8	41	14	160	0.001000	NE
cds_SP5448_00290	2	38	21	217	0.003000	NE
cds_SP5448_00295	1	150	131	1537	1.000000	E
cds_SP5448_00300	16	148	50	828	0.850000	U
cds_SP5448_00305	11	67	19	381	0.145000	U
cds_SP5448_00310	29	106	16	173	0.001000	NE
cds_SP5448_00315	0	13	13	288	0.935000	U
cds_SP5448_00320	1	31	27	582	0.769000	U
cds_SP5448_00325	0	31	31	613	0.873000	U
cds_SP5448_00330	0	15	15	287	0.945000	U
cds_SP5448_00335	0	47	47	828	0.986000	U
cds_SP5448_00340	0	14	14	273	0.948000	U
cds_SP5448_00345	0	20	20	333	0.903000	U
cds_SP5448_00350	0	34	34	640	0.893000	U
cds_SP5448_00355	0	27	27	409	0.881000	U
cds_SP5448_00360	0	7	7	192	0.912000	U
cds_SP5448_00365	0	22	22	252	0.969000	U
cds_SP5448_00370	0	21	21	333	0.909000	U
cds_SP5448_00375	0	22	22	298	0.960000	U
cds_SP5448_00380	0	34	34	532	0.907000	U
cds_SP5448_00385	0	10	10	180	0.907000	U
cds_SP5448_00390	0	24	24	393	0.852000	U
cds_SP5448_00395	0	36	36	528	0.934000	U
cds_SP5448_00400	0	19	19	342	0.852000	U
cds_SP5448_00405	0	25	25	486	0.797000	U
cds_SP5448_00410	0	16	16	171	0.939000	U
cds_SP5448_00415	0	29	29	424	0.867000	U
cds_SP5448_00420	0	117	117	1297	1.000000	E
cds_SP5448_00425	0	46	46	628	0.973000	U
cds_SP5448_00430	0	15	15	181	0.939000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.861000	U
cds_SP5448_00445	0	19	19	378	0.779000	U
cds_SP5448_00450	0	67	67	919	0.999000	E
cds_SP5448_00455	0	23	23	380	0.834000	U
cds_SP5448_00465	27	91	11	202	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	32	186	20	357	0.026000	NE
cds_SP5448_00480	3	11	4	39	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	0	2	2	56	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	1	12	8	96	0.008000	NE
cds_SP5448_00550	6	19	4	68	0.000000	NE
cds_SP5448_00555	5	14	5	50	0.000000	NE
cds_SP5448_00560	2	47	21	165	0.001000	NE
cds_SP5448_00565	3	42	24	330	0.380000	U
cds_SP5448_00570	9	69	16	215	0.001000	NE
cds_SP5448_00575	6	25	7	93	0.000000	NE
cds_SP5448_00580	1	76	75	1254	1.000000	E
cds_SP5448_00585	5	170	77	1152	0.993000	U
cds_SP5448_00590	0	159	159	3545	1.000000	E
cds_SP5448_00595	2	187	111	2096	1.000000	E
cds_SP5448_00600	5	29	18	217	0.002000	NE
cds_SP5448_00605	7	73	18	204	0.001000	NE
cds_SP5448_00610	22	86	11	165	0.001000	NE
cds_SP5448_00615	4	26	9	107	0.001000	NE
cds_SP5448_00620	3	33	9	110	0.001000	NE
cds_SP5448_00625	2	23	19	188	0.122000	U
cds_SP5448_00630	9	41	9	85	0.001000	NE
cds_SP5448_00635	9	28	7	80	0.000000	NE
cds_SP5448_00640	18	58	8	109	0.000000	NE
cds_SP5448_00645	2	77	63	880	0.991000	U
cds_SP5448_00650	5	26	7	77	0.000000	NE
cds_SP5448_00655	11	50	10	154	0.001000	NE
cds_SP5448_00660	8	62	12	140	0.001000	NE
cds_SP5448_00670	7	22	4	50	0.000000	NE
cds_SP5448_00675	4	25	11	149	0.001000	NE
cds_SP5448_00680	7	28	5	123	0.000000	NE
cds_SP5448_00685	7	32	9	84	0.001000	NE
cds_SP5448_00690	7	37	18	248	0.003000	NE
cds_SP5448_00695	8	43	8	203	0.000000	NE
cds_SP5448_00700	4	49	25	478	0.410000	U
cds_SP5448_00705	19	115	17	209	0.001000	NE
cds_SP5448_00710	48	203	15	210	0.001000	NE
cds_SP5448_00715	5	56	18	196	0.001000	NE
cds_SP5448_00720	11	85	34	372	0.498000	U
cds_SP5448_00725	8	66	17	202	0.001000	NE
cds_SP5448_00730	14	63	11	144	0.001000	NE
cds_SP5448_00735	18	84	15	237	0.002000	NE
cds_SP5448_00740	1	10	7	96	0.012000	NE
cds_SP5448_00745	5	20	5	57	0.000000	NE
cds_SP5448_00750	8	63	18	246	0.002000	NE
cds_SP5448_00755	7	65	17	173	0.001000	NE
cds_SP5448_00760	13	97	16	222	0.001000	NE
cds_SP5448_00765	12	68	19	244	0.001000	NE
cds_SP5448_00770	8	77	29	417	0.302000	U
cds_SP5448_00775	9	41	14	213	0.001000	NE
cds_SP5448_00780	7	48	13	149	0.001000	NE
cds_SP5448_00785	12	59	9	137	0.000000	NE
cds_SP5448_00790	4	22	8	166	0.001000	NE
cds_SP5448_00795	10	76	16	201	0.001000	NE
cds_SP5448_00800	2	27	20	257	0.140000	U
cds_SP5448_00805	36	168	13	218	0.001000	NE
cds_SP5448_00810	3	37	14	164	0.001000	NE
cds_SP5448_00815	4	38	16	186	0.001000	NE
cds_SP5448_00820	19	75	15	207	0.001000	NE
cds_SP5448_00825	6	26	9	124	0.001000	NE
cds_SP5448_00830	15	92	20	387	0.069000	U
cds_SP5448_00835	23	95	10	125	0.001000	NE
cds_SP5448_00840	4	42	12	145	0.001000	NE
cds_SP5448_00845	15	75	17	239	0.001000	NE
cds_SP5448_00850	11	62	11	175	0.001000	NE
cds_SP5448_00855	10	71	19	402	0.108000	U
cds_SP5448_00860	9	57	16	348	0.096000	U
cds_SP5448_00865	1	23	21	517	0.656000	U
cds_SP5448_00870	20	97	14	166	0.001000	NE
cds_SP5448_00875	3	54	34	292	0.589000	U
cds_SP5448_00880	27	126	12	111	0.001000	NE
cds_SP5448_00885	6	35	14	168	0.001000	NE
cds_SP5448_00890	1	15	10	132	0.001000	NE
cds_SP5448_00900	0	11	11	118	-1.000000	S
cds_SP5448_00905	16	78	10	142	0.001000	NE
cds_SP5448_00910	1	115	65	1512	1.000000	E
cds_SP5448_00915	10	71	14	373	0.070000	U
cds_SP5448_00920	4	17	10	157	0.001000	NE
cds_SP5448_00925	7	33	8	124	0.000000	NE
cds_SP5448_00930	1	28	27	643	0.798000	U
cds_SP5448_00935	11	40	8	147	0.000000	NE
cds_SP5448_00940	7	32	7	121	0.000000	NE
cds_SP5448_00945	23	127	16	220	0.001000	NE
cds_SP5448_00950	10	74	22	359	0.134000	U
cds_SP5448_00955	12	63	10	98	0.001000	NE
