# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0894-v0M1_gene_tas.txt -m 16 -s 1000
#FDR Corrected thresholds: 0.995 0.024
#MH Acceptance-Rate:	30.68%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.858575
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.999000	E
cds_SP5448_00010	0	102	102	1119	0.998000	E
cds_SP5448_00015	0	15	15	183	0.941000	U
cds_SP5448_00020	3	80	50	706	0.806000	U
cds_SP5448_00025	0	56	56	565	0.965000	U
cds_SP5448_00030	36	265	37	452	0.054000	U
cds_SP5448_00035	4	30	9	76	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	8	128	45	422	0.388000	U
cds_SP5448_00055	0	130	130	1266	0.999000	E
cds_SP5448_00060	0	55	55	528	0.949000	U
cds_SP5448_00065	0	138	138	1974	1.000000	E
cds_SP5448_00070	0	156	156	1452	0.996000	E
cds_SP5448_00080	25	91	12	210	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	21	186	22	318	0.020000	NE
cds_SP5448_00095	2	11	7	61	-1.000000	S
cds_SP5448_00100	2	4	1	2	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.996000	E
cds_SP5448_00190	0	61	61	956	0.982000	U
cds_SP5448_00195	0	65	65	751	0.965000	U
cds_SP5448_00200	0	86	86	991	0.995000	U
cds_SP5448_00205	1	22	14	131	0.006000	NE
cds_SP5448_00210	1	48	35	591	0.712000	U
cds_SP5448_00215	8	171	47	1028	0.597000	U
cds_SP5448_00220	13	95	17	237	0.001000	NE
cds_SP5448_00225	6	49	11	275	0.015000	NE
cds_SP5448_00230	2	29	19	392	0.442000	U
cds_SP5448_00235	11	61	17	347	0.074000	U
