# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0895-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.991 0.04
#MH Acceptance-Rate:	39.55%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.637843
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	3	106	64	737	1.000000	E
cds_SP5448_00010	4	102	35	432	0.998000	E
cds_SP5448_00015	4	15	5	41	0.000000	NE
cds_SP5448_00020	15	80	14	201	0.001000	NE
cds_SP5448_00025	2	56	35	297	1.000000	E
cds_SP5448_00030	113	265	7	98	0.000000	NE
cds_SP5448_00035	8	30	5	43	0.000000	NE
cds_SP5448_00040	2	30	15	146	0.001000	NE
cds_SP5448_00050	31	128	13	152	0.001000	NE
cds_SP5448_00055	5	130	55	459	1.000000	E
cds_SP5448_00060	2	55	31	273	0.966000	U
cds_SP5448_00065	7	138	85	1312	1.000000	E
cds_SP5448_00070	8	156	67	564	1.000000	E
cds_SP5448_00080	59	91	4	90	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	74	186	10	165	0.000000	NE
cds_SP5448_00095	9	11	1	2	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	3	5	2	31	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	3	6	3	34	-1.000000	S
cds_SP5448_00140	2	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	2	6	3	31	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	2	4	2	8	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	1	5	2	28	-1.000000	S
cds_SP5448_00185	1	87	52	615	1.000000	E
cds_SP5448_00190	2	61	46	700	1.000000	E
cds_SP5448_00195	6	65	17	183	0.001000	NE
cds_SP5448_00200	5	86	41	439	0.998000	E
cds_SP5448_00205	1	22	14	131	0.020000	NE
cds_SP5448_00210	20	48	6	92	0.000000	NE
cds_SP5448_00215	48	171	10	155	0.000000	NE
cds_SP5448_00220	36	95	7	87	0.000000	NE
cds_SP5448_00225	14	49	8	250	0.000000	NE
cds_SP5448_00230	12	29	4	122	0.000000	NE
cds_SP5448_00235	29	61	8	202	0.000000	NE
cds_SP5448_00240	38	92	10	128	0.001000	NE
cds_SP5448_00245	31	58	3	80	0.000000	NE
cds_SP5448_00250	4	17	5	85	0.000000	NE
cds_SP5448_00255	17	38	5	120	0.000000	NE
cds_SP5448_00260	81	173	5	28	0.000000	NE
cds_SP5448_00265	11	57	14	445	0.398000	U
cds_SP5448_00270	34	90	7	37	0.000000	NE
cds_SP5448_00280	6	78	40	434	1.000000	E
cds_SP5448_00285	17	41	5	62	0.000000	NE
cds_SP5448_00290	4	38	15	152	0.001000	NE
cds_SP5448_00295	5	150	84	997	1.000000	E
cds_SP5448_00300	42	148	10	173	0.000000	NE
cds_SP5448_00305	28	67	6	58	0.000000	NE
cds_SP5448_00310	51	106	5	76	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.987000	U
cds_SP5448_00320	0	31	31	613	1.000000	E
cds_SP5448_00325	3	31	22	432	0.986000	U
