# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0891-v0M1_gene_tas.txt -m 16 -s 1000
#FDR Corrected thresholds: 0.999 0.018
#MH Acceptance-Rate:	27.65%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.893148
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.978000	U
cds_SP5448_00010	0	102	102	1119	0.945000	U
cds_SP5448_00015	0	15	15	183	0.934000	U
cds_SP5448_00020	2	80	51	717	0.589000	U
cds_SP5448_00025	0	56	56	565	0.819000	U
cds_SP5448_00030	22	265	37	452	0.037000	U
cds_SP5448_00035	2	30	23	192	0.010000	NE
cds_SP5448_00040	0	30	30	338	0.862000	U
cds_SP5448_00050	6	128	45	422	0.212000	U
cds_SP5448_00055	0	130	130	1266	0.924000	U
cds_SP5448_00060	0	55	55	528	0.830000	U
cds_SP5448_00065	0	138	138	1974	0.999000	U
cds_SP5448_00070	0	156	156	1452	0.893000	U
cds_SP5448_00080	17	91	18	320	0.070000	U
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	13	186	38	685	0.087000	U
cds_SP5448_00095	0	11	11	113	-1.000000	S
cds_SP5448_00100	0	4	4	68	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.964000	U
cds_SP5448_00190	0	61	61	956	0.899000	U
cds_SP5448_00195	0	65	65	751	0.821000	U
cds_SP5448_00200	0	86	86	991	0.936000	U
cds_SP5448_00205	0	22	22	210	0.945000	U
