# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0891-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.99 0.041
#MH Acceptance-Rate:	40.54%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.608724
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	3	106	70	816	1.000000	E
cds_SP5448_00010	3	102	55	673	1.000000	E
cds_SP5448_00015	1	15	14	174	0.982000	U
cds_SP5448_00020	17	80	13	194	0.001000	NE
cds_SP5448_00025	1	56	48	456	1.000000	E
cds_SP5448_00030	112	265	9	156	0.000000	NE
cds_SP5448_00035	10	30	5	43	0.000000	NE
cds_SP5448_00040	2	30	15	146	0.001000	NE
cds_SP5448_00050	42	128	10	100	0.000000	NE
cds_SP5448_00055	6	130	54	432	1.000000	E
cds_SP5448_00060	0	55	55	528	1.000000	E
cds_SP5448_00065	9	138	47	795	1.000000	E
cds_SP5448_00070	13	156	41	460	1.000000	E
cds_SP5448_00080	64	91	3	40	0.000000	NE
cds_SP5448_00085	1	2	1	2	-1.000000	S
cds_SP5448_00090	88	186	7	81	0.000000	NE
cds_SP5448_00095	9	11	1	2	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	3	5	2	31	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	4	6	2	19	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	1	4	3	31	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	3	5	1	2	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	2	4	2	8	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	2	87	62	846	1.000000	E
cds_SP5448_00190	5	61	19	313	0.823000	U
cds_SP5448_00195	10	65	22	214	0.005000	NE
cds_SP5448_00200	2	86	58	626	1.000000	E
cds_SP5448_00205	2	22	14	131	0.017000	NE
cds_SP5448_00210	18	48	6	92	0.000000	NE
cds_SP5448_00215	45	171	8	86	0.000000	NE
cds_SP5448_00220	41	95	6	72	0.000000	NE
cds_SP5448_00225	17	49	8	250	0.000000	NE
cds_SP5448_00230	9	29	6	100	0.000000	NE
cds_SP5448_00235	25	61	5	141	0.000000	NE
cds_SP5448_00240	50	92	5	49	0.000000	NE
cds_SP5448_00245	30	58	5	93	0.000000	NE
cds_SP5448_00250	5	17	6	144	0.000000	NE
cds_SP5448_00255	21	38	5	120	0.000000	NE
cds_SP5448_00260	90	173	6	69	0.000000	NE
cds_SP5448_00265	13	57	15	453	0.590000	U
cds_SP5448_00270	49	90	6	34	0.000000	NE
cds_SP5448_00280	7	78	15	108	0.001000	NE
cds_SP5448_00285	19	41	5	25	0.000000	NE
cds_SP5448_00290	3	38	20	206	0.007000	NE
cds_SP5448_00295	8	150	38	444	1.000000	E
cds_SP5448_00300	49	148	8	148	0.000000	NE
cds_SP5448_00305	36	67	9	114	0.000000	NE
cds_SP5448_00310	54	106	6	45	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.986000	U
cds_SP5448_00320	0	31	31	613	1.000000	E
cds_SP5448_00325	1	31	18	438	0.963000	U
cds_SP5448_00330	0	15	15	287	0.997000	E
cds_SP5448_00335	2	47	30	479	0.998000	E
cds_SP5448_00340	0	14	14	273	0.991000	E
cds_SP5448_00345	1	20	16	299	0.971000	U
cds_SP5448_00350	1	34	20	429	0.974000	U
cds_SP5448_00355	0	27	27	409	0.998000	E
cds_SP5448_00360	0	7	7	192	0.907000	U
cds_SP5448_00365	0	22	22	252	1.000000	E
cds_SP5448_00370	0	21	21	333	1.000000	E
cds_SP5448_00375	0	22	22	298	1.000000	E
cds_SP5448_00380	2	34	16	239	0.017000	NE
cds_SP5448_00385	1	10	8	162	0.650000	U
cds_SP5448_00390	1	24	12	149	0.001000	NE
cds_SP5448_00395	2	36	31	493	1.000000	E
cds_SP5448_00400	0	19	19	342	0.998000	E
cds_SP5448_00405	2	25	11	237	0.003000	NE
cds_SP5448_00410	0	16	16	171	0.997000	E
cds_SP5448_00415	2	29	21	298	0.977000	U
cds_SP5448_00420	6	117	34	390	0.999000	E
cds_SP5448_00425	5	46	15	174	0.001000	NE
cds_SP5448_00430	1	15	13	169	0.949000	U
cds_SP5448_00435	1	9	5	69	-1.000000	S
cds_SP5448_00440	1	23	13	128	0.001000	NE
cds_SP5448_00445	0	19	19	378	0.995000	E
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	1.000000	E
cds_SP5448_00465	59	91	3	33	0.000000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	87	186	8	88	0.000000	NE
cds_SP5448_00480	8	11	1	2	-1.000000	S
cds_SP5448_00485	2	3	1	2	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	2	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	2	5	3	40	-1.000000	S
cds_SP5448_00515	2	2	0	0	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	2	2	0	0	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	3	12	6	75	0.000000	NE
cds_SP5448_00550	9	19	3	39	0.000000	NE
cds_SP5448_00555	9	14	2	33	0.000000	NE
cds_SP5448_00560	9	47	10	106	0.001000	NE
cds_SP5448_00565	11	42	11	184	0.001000	NE
cds_SP5448_00570	25	69	10	106	0.001000	NE
cds_SP5448_00575	14	25	4	51	0.000000	NE
cds_SP5448_00580	3	76	41	663	1.000000	E
cds_SP5448_00585	19	170	36	554	1.000000	E
cds_SP5448_00590	2	159	99	2340	1.000000	E
cds_SP5448_00595	6	187	78	1580	1.000000	E
cds_SP5448_00600	13	29	6	93	0.000000	NE
cds_SP5448_00605	32	73	8	95	0.000000	NE
cds_SP5448_00610	39	86	8	123	0.000000	NE
cds_SP5448_00615	16	26	4	34	0.000000	NE
cds_SP5448_00620	10	33	6	67	0.000000	NE
cds_SP5448_00625	7	23	10	112	0.001000	NE
cds_SP5448_00630	26	41	3	28	0.000000	NE
cds_SP5448_00635	20	28	4	43	0.000000	NE
cds_SP5448_00640	32	58	4	21	0.000000	NE
cds_SP5448_00645	9	77	18	187	0.001000	NE
cds_SP5448_00650	14	26	4	46	0.000000	NE
cds_SP5448_00655	24	50	5	80	0.000000	NE
cds_SP5448_00660	25	62	7	156	0.000000	NE
cds_SP5448_00670	15	22	3	31	0.000000	NE
cds_SP5448_00675	7	25	5	62	0.000000	NE
cds_SP5448_00680	11	28	4	85	0.000000	NE
cds_SP5448_00685	15	32	3	28	0.000000	NE
cds_SP5448_00690	18	37	4	30	0.000000	NE
cds_SP5448_00695	19	43	6	153	0.000000	NE
cds_SP5448_00700	12	49	8	133	0.000000	NE
cds_SP5448_00705	50	115	9	119	0.000000	NE
cds_SP5448_00710	104	203	8	93	0.000000	NE
cds_SP5448_00715	16	56	9	69	0.000000	NE
cds_SP5448_00720	37	85	7	63	0.000000	NE
cds_SP5448_00725	21	66	10	125	0.001000	NE
cds_SP5448_00730	28	63	6	44	0.000000	NE
cds_SP5448_00735	38	84	9	107	0.000000	NE
cds_SP5448_00740	2	10	4	52	0.000000	NE
cds_SP5448_00745	10	20	3	26	0.000000	NE
cds_SP5448_00750	26	63	7	79	0.000000	NE
cds_SP5448_00755	27	65	7	64	0.000000	NE
cds_SP5448_00760	44	97	6	57	0.000000	NE
cds_SP5448_00765	41	68	4	73	0.000000	NE
cds_SP5448_00770	26	77	11	128	0.001000	NE
cds_SP5448_00775	23	41	4	64	0.000000	NE
cds_SP5448_00780	22	48	6	86	0.000000	NE
cds_SP5448_00785	33	59	5	29	0.000000	NE
cds_SP5448_00790	11	22	3	30	0.000000	NE
cds_SP5448_00795	34	76	5	72	0.000000	NE
cds_SP5448_00800	10	27	6	101	0.000000	NE
cds_SP5448_00805	73	168	6	40	0.000000	NE
cds_SP5448_00810	11	37	6	76	0.000000	NE
cds_SP5448_00815	17	38	5	91	0.000000	NE
cds_SP5448_00820	40	75	4	46	0.000000	NE
cds_SP5448_00825	13	26	3	44	0.000000	NE
cds_SP5448_00830	39	92	9	138	0.000000	NE
cds_SP5448_00835	55	95	4	36	0.000000	NE
cds_SP5448_00840	20	42	5	80	0.000000	NE
cds_SP5448_00845	39	75	5	65	0.000000	NE
cds_SP5448_00850	32	62	6	86	0.000000	NE
cds_SP5448_00855	26	71	7	67	0.000000	NE
cds_SP5448_00860	20	57	5	75	0.000000	NE
cds_SP5448_00865	2	23	21	517	0.997000	E
cds_SP5448_00870	44	97	7	90	0.000000	NE
cds_SP5448_00875	7	54	20	192	0.002000	NE
cds_SP5448_00880	52	126	6	129	0.000000	NE
cds_SP5448_00885	18	35	3	45	0.000000	NE
cds_SP5448_00890	5	15	4	73	0.000000	NE
cds_SP5448_00900	4	11	3	19	-1.000000	S
cds_SP5448_00905	34	78	6	75	0.000000	NE
cds_SP5448_00910	4	115	49	928	1.000000	E
cds_SP5448_00915	28	71	9	179	0.000000	NE
cds_SP5448_00920	6	17	4	54	0.000000	NE
cds_SP5448_00925	14	33	5	62	0.000000	NE
cds_SP5448_00930	6	28	8	213	0.000000	NE
cds_SP5448_00935	18	40	5	92	0.000000	NE
cds_SP5448_00940	15	32	2	40	0.000000	NE
cds_SP5448_00945	54	127	8	67	0.000000	NE
cds_SP5448_00950	34	74	7	140	0.000000	NE
cds_SP5448_00955	30	63	5	59	0.000000	NE
cds_SP5448_00960	49	106	8	170	0.000000	NE
cds_SP5448_00965	19	160	40	785	1.000000	E
cds_SP5448_00970	13	24	3	44	0.000000	NE
cds_SP5448_00975	11	34	8	77	0.000000	NE
cds_SP5448_00980	7	16	3	59	0.000000	NE
cds_SP5448_00985	59	128	16	176	0.001000	NE
cds_SP5448_00990	31	48	5	77	0.000000	NE
cds_SP5448_00995	5	8	3	93	-1.000000	S
cds_SP5448_01000	8	16	3	28	0.000000	NE
cds_SP5448_01005	32	49	4	35	0.000000	NE
cds_SP5448_01010	3	10	2	13	0.000000	NE
cds_SP5448_01015	23	76	8	171	0.000000	NE
cds_SP5448_01020	25	53	6	48	0.000000	NE
cds_SP5448_01025	31	58	8	131	0.000000	NE
cds_SP5448_01030	22	39	5	93	0.000000	NE
cds_SP5448_01035	30	74	7	67	0.000000	NE
cds_SP5448_01045	25	60	8	154	0.000000	NE
cds_SP5448_01050	4	18	7	163	0.000000	NE
cds_SP5448_01055	15	40	6	38	0.000000	NE
cds_SP5448_01060	17	45	10	140	0.001000	NE
cds_SP5448_01065	1	27	25	502	1.000000	E
cds_SP5448_01070	53	86	4	26	0.000000	NE
cds_SP5448_01075	47	80	5	50	0.000000	NE
cds_SP5448_01085	2	75	50	865	1.000000	E
cds_SP5448_01090	67	128	8	87	0.000000	NE
cds_SP5448_01095	33	46	4	61	0.000000	NE
cds_SP5448_01100	20	32	3	28	0.000000	NE
cds_SP5448_01105	1	3	2	66	-1.000000	S
cds_SP5448_01115	24	57	7	80	0.000000	NE
cds_SP5448_01120	3	58	28	453	0.999000	E
cds_SP5448_01125	3	70	32	456	1.000000	E
cds_SP5448_01130	10	35	11	141	0.001000	NE
cds_SP5448_01135	35	115	12	329	0.062000	U
cds_SP5448_01140	34	105	12	193	0.001000	NE
cds_SP5448_01145	13	40	8	137	0.000000	NE
cds_SP5448_01150	7	26	15	200	0.001000	NE
cds_SP5448_01155	31	75	7	95	0.000000	NE
cds_SP5448_01160	2	27	25	463	0.998000	E
cds_SP5448_01165	28	50	4	48	0.000000	NE
