# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0896-v0M1_gene_tas.txt -m 16 -s 1000
#FDR Corrected thresholds: 0.997 0.022
#MH Acceptance-Rate:	30.22%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.871317
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	0	106	106	1312	0.998000	E
cds_SP5448_00010	0	102	102	1119	0.992000	U
cds_SP5448_00015	0	15	15	183	0.933000	U
cds_SP5448_00020	2	80	51	717	0.741000	U
cds_SP5448_00025	0	56	56	565	0.922000	U
cds_SP5448_00030	34	265	37	452	0.041000	U
cds_SP5448_00035	3	30	9	76	0.001000	NE
cds_SP5448_00040	1	30	17	160	0.001000	NE
cds_SP5448_00050	8	128	54	561	0.568000	U
cds_SP5448_00055	0	130	130	1266	0.998000	E
cds_SP5448_00060	0	55	55	528	0.925000	U
cds_SP5448_00065	1	138	106	1399	0.999000	E
cds_SP5448_00070	0	156	156	1452	0.994000	U
cds_SP5448_00080	24	91	12	210	0.001000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	22	186	22	318	0.024000	U
cds_SP5448_00095	2	11	5	32	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	1	5	4	56	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	0	2	2	13	-1.000000	S
cds_SP5448_00130	0	3	3	27	-1.000000	S
cds_SP5448_00135	1	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	1	6	5	58	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	1	5	3	40	-1.000000	S
cds_SP5448_00165	1	2	1	2	-1.000000	S
cds_SP5448_00170	1	4	3	14	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	0	87	87	1180	0.991000	U
cds_SP5448_00190	0	61	61	956	0.963000	U
cds_SP5448_00195	0	65	65	751	0.951000	U
cds_SP5448_00200	0	86	86	991	0.986000	U
cds_SP5448_00205	0	22	22	210	0.961000	U
cds_SP5448_00210	1	48	42	660	0.817000	U
cds_SP5448_00215	7	171	47	1028	0.515000	U
cds_SP5448_00220	14	95	17	237	0.001000	NE
cds_SP5448_00225	5	49	13	288	0.024000	U
cds_SP5448_00230	2	29	16	272	0.042000	U
cds_SP5448_00235	14	61	9	213	0.000000	NE
cds_SP5448_00240	13	92	15	211	0.001000	NE
cds_SP5448_00245	14	58	20	460	0.139000	U
cds_SP5448_00250	2	17	8	277	0.050000	U
cds_SP5448_00255	13	38	8	263	0.005000	NE
cds_SP5448_00260	32	173	16	141	0.001000	NE
cds_SP5448_00265	3	57	20	552	0.156000	U
cds_SP5448_00270	7	90	40	348	0.368000	U
cds_SP5448_00280	1	78	53	634	0.774000	U
cds_SP5448_00285	5	41	20	223	0.001000	NE
cds_SP5448_00290	0	38	38	386	0.891000	U
cds_SP5448_00295	0	150	150	1768	1.000000	E
cds_SP5448_00300	12	148	50	828	0.461000	U
cds_SP5448_00305	10	67	19	381	0.136000	U
cds_SP5448_00310	25	106	25	304	0.060000	U
cds_SP5448_00315	0	13	13	288	0.922000	U
cds_SP5448_00320	0	31	31	613	0.751000	U
cds_SP5448_00325	0	31	31	613	0.737000	U
cds_SP5448_00330	0	15	15	287	0.942000	U
cds_SP5448_00335	0	47	47	828	0.890000	U
cds_SP5448_00340	0	14	14	273	0.926000	U
cds_SP5448_00345	0	20	20	333	0.883000	U
cds_SP5448_00350	0	34	34	640	0.766000	U
cds_SP5448_00355	0	27	27	409	0.797000	U
cds_SP5448_00360	0	7	7	192	0.936000	U
cds_SP5448_00365	0	22	22	252	0.956000	U
cds_SP5448_00370	0	21	21	333	0.877000	U
cds_SP5448_00375	0	22	22	298	0.954000	U
cds_SP5448_00380	0	34	34	532	0.789000	U
cds_SP5448_00385	0	10	10	180	0.940000	U
cds_SP5448_00390	0	24	24	393	0.764000	U
cds_SP5448_00395	0	36	36	528	0.811000	U
cds_SP5448_00400	0	19	19	342	0.833000	U
cds_SP5448_00405	0	25	25	486	0.705000	U
cds_SP5448_00410	0	16	16	171	0.935000	U
cds_SP5448_00415	0	29	29	424	0.794000	U
cds_SP5448_00420	0	117	117	1297	0.996000	U
cds_SP5448_00425	0	46	46	628	0.880000	U
cds_SP5448_00430	0	15	15	181	0.938000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.802000	U
cds_SP5448_00445	0	19	19	378	0.758000	U
cds_SP5448_00450	0	67	67	919	0.970000	U
cds_SP5448_00455	0	23	23	380	0.779000	U
cds_SP5448_00465	24	91	12	210	0.001000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	21	186	22	318	0.034000	U
cds_SP5448_00480	3	11	5	32	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	0	5	5	55	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	1	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	0	2	2	56	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	0	12	12	164	0.935000	U
cds_SP5448_00550	2	19	11	161	0.001000	NE
cds_SP5448_00555	2	14	10	149	0.009000	NE
cds_SP5448_00560	0	47	47	433	0.921000	U
cds_SP5448_00565	1	42	40	686	0.826000	U
cds_SP5448_00570	3	69	32	346	0.311000	U
cds_SP5448_00575	2	25	17	295	0.383000	U
cds_SP5448_00580	1	76	75	1254	0.990000	U
cds_SP5448_00585	1	170	140	1869	0.999000	E
cds_SP5448_00590	1	159	127	2737	1.000000	E
cds_SP5448_00595	1	187	184	3543	1.000000	E
