# Copyright 2014. Michael A. DeJesus & Thomas R. Ioerger
# Version 1.21; http://saclab.tamu.edu/essentiality/
#
#Command used:	python /cbcb/sw/RedHat-7-x86_64/common/local/essentiality/1.0/bin/gumbelMH.py -f outputs/essentiality/hpgl0896-v0M1_gene_tas.txt -m 1 -s 1000
#FDR Corrected thresholds: 0.992 0.057
#MH Acceptance-Rate:	40.18%
#Total Iterations Performed:	22968
#Sample Size:	1000
#phi estimate:	0.621385
#Orf	k	n	r	s	zbar	Call
cds_SP5448_00005	4	106	39	467	1.000000	E
cds_SP5448_00010	3	102	71	797	1.000000	E
cds_SP5448_00015	2	15	12	124	0.060000	U
cds_SP5448_00020	18	80	8	113	0.000000	NE
cds_SP5448_00025	3	56	27	238	0.175000	U
cds_SP5448_00030	125	265	10	104	0.000000	NE
cds_SP5448_00035	8	30	6	46	0.000000	NE
cds_SP5448_00040	5	30	16	157	0.001000	NE
cds_SP5448_00050	38	128	11	140	0.001000	NE
cds_SP5448_00055	9	130	38	307	0.998000	E
cds_SP5448_00060	3	55	32	278	0.988000	U
cds_SP5448_00065	7	138	73	1097	1.000000	E
cds_SP5448_00070	13	156	36	295	0.980000	U
cds_SP5448_00080	63	91	3	20	0.000000	NE
cds_SP5448_00085	0	2	2	59	-1.000000	S
cds_SP5448_00090	94	186	8	138	0.000000	NE
cds_SP5448_00095	8	11	1	2	-1.000000	S
cds_SP5448_00100	1	4	3	59	-1.000000	S
cds_SP5448_00105	0	3	3	14	-1.000000	S
cds_SP5448_00110	2	5	3	47	-1.000000	S
cds_SP5448_00115	0	4	4	50	-1.000000	S
cds_SP5448_00120	1	4	3	47	-1.000000	S
cds_SP5448_00125	1	2	1	2	-1.000000	S
cds_SP5448_00130	1	3	1	2	-1.000000	S
cds_SP5448_00135	2	6	3	34	-1.000000	S
cds_SP5448_00140	1	3	1	2	-1.000000	S
cds_SP5448_00145	0	4	4	67	-1.000000	S
cds_SP5448_00150	2	6	3	31	-1.000000	S
cds_SP5448_00155	0	2	2	49	-1.000000	S
cds_SP5448_00160	2	5	3	40	-1.000000	S
cds_SP5448_00165	2	2	0	0	-1.000000	S
cds_SP5448_00170	2	4	2	8	-1.000000	S
cds_SP5448_00175	0	4	4	69	-1.000000	S
cds_SP5448_00180	0	5	5	74	-1.000000	S
cds_SP5448_00185	4	87	32	321	0.994000	E
cds_SP5448_00190	6	61	19	313	0.759000	U
cds_SP5448_00195	7	65	12	158	0.001000	NE
cds_SP5448_00200	5	86	24	283	0.673000	U
cds_SP5448_00205	1	22	14	131	0.019000	NE
cds_SP5448_00210	14	48	7	71	0.000000	NE
cds_SP5448_00215	55	171	15	299	0.031000	NE
cds_SP5448_00220	41	95	5	51	0.000000	NE
cds_SP5448_00225	15	49	8	250	0.002000	NE
cds_SP5448_00230	12	29	4	122	0.000000	NE
cds_SP5448_00235	25	61	5	141	0.000000	NE
cds_SP5448_00240	48	92	5	71	0.000000	NE
cds_SP5448_00245	32	58	3	80	0.000000	NE
cds_SP5448_00250	6	17	6	177	0.000000	NE
cds_SP5448_00255	21	38	5	120	0.000000	NE
cds_SP5448_00260	89	173	7	41	0.000000	NE
cds_SP5448_00265	9	57	14	414	0.468000	U
cds_SP5448_00270	43	90	12	93	0.001000	NE
cds_SP5448_00280	7	78	21	284	0.473000	U
cds_SP5448_00285	21	41	5	25	0.000000	NE
cds_SP5448_00290	8	38	12	139	0.001000	NE
cds_SP5448_00295	12	150	33	397	0.994000	E
cds_SP5448_00300	50	148	9	191	0.000000	NE
cds_SP5448_00305	34	67	4	58	0.000000	NE
cds_SP5448_00310	52	106	6	61	0.000000	NE
cds_SP5448_00315	0	13	13	288	0.992000	U
cds_SP5448_00320	0	31	31	613	1.000000	E
cds_SP5448_00325	1	31	21	483	0.990000	U
cds_SP5448_00330	1	15	10	150	0.001000	NE
cds_SP5448_00335	3	47	31	575	1.000000	E
cds_SP5448_00340	0	14	14	273	0.990000	U
cds_SP5448_00345	2	20	14	275	0.674000	U
cds_SP5448_00350	1	34	27	525	0.999000	E
cds_SP5448_00355	0	27	27	409	0.999000	E
cds_SP5448_00360	0	7	7	192	0.921000	U
cds_SP5448_00365	1	22	11	135	0.001000	NE
cds_SP5448_00370	0	21	21	333	1.000000	E
cds_SP5448_00375	0	22	22	298	1.000000	E
cds_SP5448_00380	1	34	22	303	0.967000	U
cds_SP5448_00385	2	10	4	86	0.000000	NE
cds_SP5448_00390	1	24	22	290	0.977000	U
cds_SP5448_00395	3	36	25	451	0.999000	E
cds_SP5448_00400	1	19	16	282	0.887000	U
cds_SP5448_00405	2	25	14	260	0.057000	U
cds_SP5448_00410	0	16	16	171	0.988000	U
cds_SP5448_00415	1	29	27	397	0.999000	E
cds_SP5448_00420	4	117	60	725	1.000000	E
cds_SP5448_00425	6	46	18	224	0.002000	NE
cds_SP5448_00430	1	15	13	169	0.926000	U
cds_SP5448_00435	0	9	9	109	-1.000000	S
cds_SP5448_00440	0	23	23	357	0.999000	E
cds_SP5448_00445	1	19	17	344	0.987000	U
cds_SP5448_00450	1	67	52	714	1.000000	E
cds_SP5448_00455	0	23	23	380	0.998000	E
cds_SP5448_00465	66	91	3	19	0.000000	NE
cds_SP5448_00470	0	2	2	59	-1.000000	S
cds_SP5448_00475	100	186	7	81	0.000000	NE
cds_SP5448_00480	9	11	1	2	-1.000000	S
cds_SP5448_00485	0	3	3	59	-1.000000	S
cds_SP5448_00490	1	4	3	14	-1.000000	S
cds_SP5448_00495	0	3	3	31	-1.000000	S
cds_SP5448_00500	2	5	3	46	-1.000000	S
cds_SP5448_00505	0	2	2	49	-1.000000	S
cds_SP5448_00510	2	5	3	40	-1.000000	S
cds_SP5448_00515	1	2	1	2	-1.000000	S
cds_SP5448_00520	0	3	3	30	-1.000000	S
cds_SP5448_00525	0	5	5	55	-1.000000	S
cds_SP5448_00530	2	2	0	0	-1.000000	S
cds_SP5448_00535	0	4	4	61	-1.000000	S
cds_SP5448_00540	0	2	2	4	-1.000000	S
cds_SP5448_00545	4	12	5	67	0.000000	NE
cds_SP5448_00550	8	19	4	68	0.000000	NE
cds_SP5448_00555	10	14	2	33	0.000000	NE
cds_SP5448_00560	8	47	14	154	0.001000	NE
cds_SP5448_00565	16	42	5	112	0.000000	NE
cds_SP5448_00570	21	69	7	71	0.000000	NE
cds_SP5448_00575	11	25	5	68	0.000000	NE
cds_SP5448_00580	2	76	55	858	1.000000	E
cds_SP5448_00585	23	170	17	240	0.002000	NE
cds_SP5448_00590	8	159	35	770	1.000000	E
cds_SP5448_00595	11	187	48	1031	1.000000	E
cds_SP5448_00600	11	29	7	88	0.000000	NE
cds_SP5448_00605	30	73	7	117	0.000000	NE
cds_SP5448_00610	42	86	5	26	0.000000	NE
cds_SP5448_00615	14	26	4	34	0.000000	NE
cds_SP5448_00620	13	33	6	67	0.000000	NE
cds_SP5448_00625	8	23	9	107	0.001000	NE
cds_SP5448_00630	26	41	3	21	0.000000	NE
cds_SP5448_00635	21	28	4	43	0.000000	NE
cds_SP5448_00640	33	58	5	91	0.000000	NE
cds_SP5448_00645	9	77	18	290	0.273000	U
cds_SP5448_00650	13	26	6	60	0.000000	NE
cds_SP5448_00655	27	50	4	44	0.000000	NE
cds_SP5448_00660	22	62	7	156	0.000000	NE
cds_SP5448_00670	13	22	3	63	0.000000	NE
cds_SP5448_00675	4	25	10	119	0.001000	NE
cds_SP5448_00680	13	28	4	79	0.000000	NE
cds_SP5448_00685	14	32	9	84	0.001000	NE
cds_SP5448_00690	15	37	9	117	0.001000	NE
cds_SP5448_00695	18	43	6	153	0.000000	NE
cds_SP5448_00700	13	49	8	143	0.000000	NE
cds_SP5448_00705	52	115	8	116	0.000000	NE
cds_SP5448_00710	101	203	10	129	0.000000	NE
cds_SP5448_00715	19	56	10	130	0.001000	NE
cds_SP5448_00720	34	85	9	101	0.000000	NE
cds_SP5448_00725	23	66	7	87	0.000000	NE
cds_SP5448_00730	28	63	7	119	0.000000	NE
cds_SP5448_00735	39	84	8	93	0.000000	NE
cds_SP5448_00740	5	10	3	43	0.000000	NE
cds_SP5448_00745	11	20	2	28	0.000000	NE
cds_SP5448_00750	30	63	4	60	0.000000	NE
cds_SP5448_00755	26	65	5	70	0.000000	NE
cds_SP5448_00760	38	97	6	57	0.000000	NE
cds_SP5448_00765	31	68	8	74	0.000000	NE
cds_SP5448_00770	35	77	5	152	0.000000	NE
cds_SP5448_00775	26	41	2	5	0.000000	NE
cds_SP5448_00780	20	48	6	80	0.000000	NE
cds_SP5448_00785	32	59	5	55	0.000000	NE
cds_SP5448_00790	12	22	3	30	0.000000	NE
cds_SP5448_00795	31	76	7	103	0.000000	NE
cds_SP5448_00800	8	27	7	104	0.000000	NE
cds_SP5448_00805	81	168	7	60	0.000000	NE
cds_SP5448_00810	14	37	6	53	0.000000	NE
cds_SP5448_00815	16	38	6	57	0.000000	NE
cds_SP5448_00820	41	75	5	48	0.000000	NE
cds_SP5448_00825	13	26	6	78	0.000000	NE
